candidate,percentage,votes,state_name,district,party,state_abbreviation,year,id,GEOID,total_votes,vote_share
John Whalen III,42.1,209606,Delaware,00,Republican,DE,2024,DE00,1000,497436,42.13727997169485
Matt Gaetz,66.0,274108,Florida,01,Republican,FL,2024,FL01,1201,415088,66.03611764252399
Gay Valimont,34.0,140980,Florida,01,Democrat,FL,2024,FL01,1201,415088,33.963882357476
Neal Dunn,61.6,247957,Florida,02,Republican,FL,2024,FL02,1202,402280,61.63791389082232
Yen Bailey,38.4,154323,Florida,02,Democrat,FL,2024,FL02,1202,402280,38.36208610917769
Kat Cammack,61.6,241174,Florida,03,Republican,FL,2024,FL03,1203,391457,61.60932107485624
Tom Wells,38.4,150283,Florida,03,Democrat,FL,2024,FL03,1203,391457,38.39067892514375
Aaron Bean,57.3,222364,Florida,04,Republican,FL,2024,FL04,1204,388349,57.25880586791777
LaShonda Holloway,42.7,165912,Florida,04,Democrat,FL,2024,FL04,1204,388349,42.722396607175504
Todd Schaefer,0.0,73,Florida,04,Other,FL,2024,FL04,1204,388349,0.0187975249067205
John Rutherford,63.1,267471,Florida,05,Republican,FL,2024,FL05,1205,424064,63.07326252641111
Jay McGovern,36.9,156570,Florida,05,Democrat,FL,2024,FL05,1205,424064,36.92131376396016
Gary Koniz,0.0,23,Florida,05,Other,FL,2024,FL05,1205,424064,0.005423709628735285
Michael Waltz,66.5,284414,Florida,06,Republican,FL,2024,FL06,1206,427474,66.53363713348648
James Stockton,33.5,143050,Florida,06,Democrat,FL,2024,FL06,1206,427474,33.46402354295232
Richard Dembinsky,0.0,10,Florida,06,Other,FL,2024,FL06,1206,427474,0.0023393235611990438
Cory Mills,56.5,233937,Florida,07,Republican,FL,2024,FL07,1207,413854,56.526456189864064
Jennifer Adams,43.5,179917,Florida,07,Democrat,FL,2024,FL07,1207,413854,43.473543810135936
Mike Haridopolos,62.2,280352,Florida,08,Republican,FL,2024,FL08,1208,450448,62.23848257734522
Sandy Kennedy,37.8,170096,Florida,08,Democrat,FL,2024,FL08,1208,450448,37.76151742265478
Darren Soto,55.1,178785,Florida,09,Democrat,FL,2024,FL09,1209,324273,55.13409997132046
Thomas Chalifoux,42.6,138076,Florida,09,Republican,FL,2024,FL09,1209,324273,42.580171645496236
Marcus Carter,2.3,7412,Florida,09,Other,FL,2024,FL09,1209,324273,2.2857283831833053
Maxwell Alejandro Frost,62.4,181455,Florida,10,Democrat,FL,2024,FL10,1210,290915,62.373889280373994
Willie Montague,37.6,109460,Florida,10,Republican,FL,2024,FL10,1210,290915,37.62611071962601
Daniel Webster,60.4,269277,Florida,11,Republican,FL,2024,FL11,1211,446003,60.37560285468931
Barbie Harden Hall,39.6,176726,Florida,11,Democrat,FL,2024,FL11,1211,446003,39.62439714531068
Gus M. Bilirakis,71.0,306487,Florida,12,Republican,FL,2024,FL12,1212,431436,71.03880992777609
Rock Aboujaoude Jr.,29.0,124949,Florida,12,Democrat,FL,2024,FL12,1212,431436,28.961190072223925
Anna Paulina Luna,54.8,225636,Florida,13,Republican,FL,2024,FL13,1213,411593,54.820174298396715
Whitney Fox,45.2,185930,Florida,13,Democrat,FL,2024,FL13,1213,411593,45.17326582327688
Tony D'Arrigo,0.0,27,Florida,13,Other,FL,2024,FL13,1213,411593,0.006559878326404968
Kathy Castor,56.9,199423,Florida,14,Democrat,FL,2024,FL14,1214,350185,56.9478989676885
Robert Rochford,41.6,145643,Florida,14,Republican,FL,2024,FL14,1214,350185,41.59030226880078
Christopher Bradley,0.7,2595,Florida,14,Other,FL,2024,FL14,1214,350185,0.7410368805060182
Nathaniel Snyder,0.7,2524,Florida,14,Other,FL,2024,FL14,1214,350185,0.7207618830046976
Laurel Lee,56.2,195334,Florida,15,Republican,FL,2024,FL15,1215,347695,56.17969772357957
Pat Kemp,43.8,152361,Florida,15,Democrat,FL,2024,FL15,1215,347695,43.82030227642043
Vern Buchanan,59.5,247516,Florida,16,Republican,FL,2024,FL16,1216,416141,59.47887855318269
Jan Schneider,40.5,168625,Florida,16,Democrat,FL,2024,FL16,1216,416141,40.521121446817304
Greg Steube,63.9,291347,Florida,17,Republican,FL,2024,FL17,1217,455921,63.90295687191422
Manny Lopez,36.1,164566,Florida,17,Democrat,FL,2024,FL17,1217,455921,36.095288438128534
Ralph E. Hartman,0.0,8,Florida,17,Other,FL,2024,FL17,1217,455921,0.0017546899572513659
Scott Franklin,65.3,225170,Florida,18,Republican,FL,2024,FL18,1218,344807,65.30319860095648
Andrea Doria Kale,34.7,119637,Florida,18,Democrat,FL,2024,FL18,1218,344807,34.69680139904352
Byron Donalds,66.3,275708,Florida,19,Republican,FL,2024,FL19,1219,415746,66.3164528341824
Kari Lerner,33.7,140038,Florida,19,Democrat,FL,2024,FL19,1219,415746,33.68354716581759
Brian Mast,61.8,277435,Florida,21,Republican,FL,2024,FL21,1221,448766,61.821751202185546
